Insurance Validity,Seats,c_id
Comprehensive,5,550
Comprehensive,5,551
Comprehensive,5,552
Comprehensive,5,553
Comprehensive,5,554
Comprehensive,5,555
Comprehensive,5,556
Third Party insurance,7,557
Third Party insurance,5,558
Third Party insurance,5,559
Third Party insurance,5,560
Third Party insurance,7,561
Third Party insurance,5,562
Comprehensive,7,563
Third Party insurance,5,564
Third Party insurance,5,565
Third Party insurance,5,566
Third Party,5,567
Third Party,5,568
Comprehensive,8,569
Comprehensive,5,570
Comprehensive,5,571
Third Party insurance,8,572
Third Party,5,573
Third Party insurance,8,574
Comprehensive,5,575
Comprehensive,5,576
Third Party insurance,5,577
Comprehensive,5,578
Third Party,5,579
Third Party insurance,5,580
Comprehensive,5,581
Third Party,5,582
Third Party insurance,5,583
Comprehensive,5,584
Comprehensive,5,585
Comprehensive,5,586
Comprehensive,5,587
Third Party insurance,5,588
Comprehensive,5,589
Comprehensive,5,590
Comprehensive,5,591
Comprehensive,5,592
Comprehensive,5,593
Comprehensive,5,594
Comprehensive,5,595
Third Party insurance,6,596
Comprehensive,5,597
Comprehensive,7,598
Third Party insurance,5,599
Comprehensive,5,600
Third Party insurance,5,601
Third Party insurance,5,602
Comprehensive,5,603
Comprehensive,9,604
Comprehensive,5,605
Comprehensive,5,606
Comprehensive,5,607
Third Party insurance,5,608
Third Party,5,609
Comprehensive,5,610
Third Party insurance,8,611
Comprehensive,5,612
Third Party insurance,5,613
Zero Dep,5,614
Comprehensive,5,615
Comprehensive,8,616
Third Party insurance,5,617
Third Party insurance,5,618
Third Party insurance,5,619
Third Party insurance,5,620
Third Party insurance,,621
Third Party insurance,5,622
Third Party,5,623
Comprehensive,5,624
Third Party insurance,5,625
Comprehensive,5,626
Third Party,5,627
Third Party insurance,5,628
Comprehensive,5,629
Third Party insurance,5,630
Third Party insurance,5,631
Comprehensive,7,632
Third Party insurance,5,633
Third Party,5,634
Comprehensive,5,635
Third Party insurance,5,636
Third Party insurance,5,637
Third Party insurance,5,638
Third Party insurance,5,639
Third Party insurance,5,640
Third Party insurance,5,641
Comprehensive,5,642
Third Party insurance,5,643
Comprehensive,8,644
Third Party insurance,5,645
Comprehensive,5,646
Comprehensive,5,647
Third Party insurance,5,648
Comprehensive,5,649
Comprehensive,5,650
Comprehensive,5,651
Comprehensive,5,652
Third Party insurance,5,653
Comprehensive,5,654
Comprehensive,5,655
Third Party insurance,5,656
Comprehensive,5,657
Third Party insurance,5,658
Comprehensive,5,659
Comprehensive,5,660
Comprehensive,5,661
Third Party insurance,5,662
Comprehensive,5,663
Zero Dep,5,664
Zero Dep,5,665
Third Party insurance,5,666
Third Party,5,667
Comprehensive,5,668
Third Party insurance,5,669
Comprehensive,5,670
Third Party insurance,5,671
Comprehensive,5,672
Comprehensive,5,673
Third Party insurance,5,674
Third Party insurance,5,675
Third Party,5,676
Third Party insurance,5,677
Third Party insurance,5,678
Comprehensive,5,679
Third Party insurance,5,680
Third Party insurance,5,681
Third Party insurance,,682
Third Party insurance,5,683
Comprehensive,5,684
Comprehensive,5,685
Third Party insurance,5,686
Third Party,5,687
Comprehensive,5,688
Third Party insurance,5,689
Third Party,5,690
Third Party insurance,5,691
Comprehensive,5,692
Comprehensive,5,693
Third Party insurance,5,694
Third Party insurance,5,695
Third Party insurance,5,696
Third Party insurance,5,697
Third Party insurance,5,698
Comprehensive,7,699
Third Party insurance,5,700
Third Party insurance,5,701
Third Party,5,702
Third Party insurance,5,703
Third Party insurance,5,704
Third Party,5,705
Third Party insurance,5,706
Comprehensive,5,707
Third Party,5,708
Third Party insurance,5,709
Comprehensive,5,710
Third Party insurance,5,711
Comprehensive,5,712
Zero Dep,5,713
Comprehensive,5,714
Third Party insurance,7,715
Comprehensive,5,716
Third Party insurance,5,717
Comprehensive,5,718
Third Party insurance,5,719
Third Party insurance,5,720
Third Party insurance,5,721
Third Party insurance,5,722
Third Party,5,723
Comprehensive,5,724
Third Party,5,725
Third Party insurance,5,726
Third Party,5,727
Comprehensive,5,728
Third Party insurance,5,729
Comprehensive,5,730
Comprehensive,5,731
Comprehensive,5,732
Comprehensive,5,733
Third Party insurance,5,734
Comprehensive,5,735
Third Party insurance,5,736
Third Party insurance,5,737
Third Party insurance,5,738
Third Party insurance,5,739
Third Party insurance,5,740
Third Party insurance,5,741
Third Party insurance,7,742
Third Party insurance,5,743
Third Party,5,744
Third Party insurance,5,745
Third Party insurance,5,746
Third Party insurance,5,747
Third Party,5,748
Third Party insurance,5,749
Third Party,5,750
Third Party insurance,5,751
Comprehensive,5,752
Third Party,5,753
Third Party insurance,5,754
Third Party insurance,7,755
Third Party insurance,5,756
Comprehensive,5,757
Third Party insurance,,758
Comprehensive,5,759
Comprehensive,5,760
Comprehensive,5,761
Third Party insurance,5,762
Third Party,5,763
Comprehensive,5,764
Third Party insurance,5,765
Third Party,5,766
Third Party,5,767
Comprehensive,5,768
Comprehensive,5,769
Third Party insurance,5,770
Comprehensive,5,771
Comprehensive,5,772
Third Party insurance,5,773
Third Party insurance,5,774
Comprehensive,5,775
Third Party insurance,5,776
Third Party insurance,7,777
Third Party insurance,5,778
Third Party insurance,5,779
Third Party,5,780
Third Party insurance,5,781
Third Party insurance,5,782
Third Party,5,783
Comprehensive,5,784
Comprehensive,5,785
Comprehensive,5,786
Third Party,5,787
Third Party insurance,5,788
Comprehensive,5,789
Third Party insurance,7,790
Third Party,5,791
Comprehensive,5,792
Third Party insurance,5,793
Third Party insurance,5,794
Third Party insurance,5,795
Third Party insurance,5,796
Third Party insurance,5,797
Third Party insurance,5,798
Third Party insurance,5,799
Third Party insurance,5,800
Third Party insurance,5,801
Third Party insurance,5,802
Comprehensive,5,803
Comprehensive,5,804
Third Party insurance,5,805
Comprehensive,5,806
Comprehensive,5,807
Third Party insurance,5,808
Comprehensive,5,809
Comprehensive,5,810
Third Party,5,811
Third Party insurance,5,812
Third Party insurance,5,813
Comprehensive,5,814
Third Party,5,815
Third Party insurance,5,816
Comprehensive,5,817
Third Party insurance,7,818
Third Party insurance,5,819
Third Party insurance,6,820
Third Party insurance,5,821
Third Party insurance,5,822
Comprehensive,5,823
Comprehensive,5,824
Third Party insurance,5,825
Third Party,7,826
Comprehensive,5,827
Third Party insurance,7,828
Third Party,5,829
Third Party insurance,5,830
Comprehensive,5,831
Third Party,5,832
Comprehensive,5,833
Third Party insurance,6,834
Third Party insurance,5,835
Third Party insurance,5,836
Comprehensive,5,837
Comprehensive,5,838
Comprehensive,5,839
Third Party insurance,5,840
Comprehensive,5,841
Third Party insurance,5,842
Zero Dep,5,843
Third Party,5,844
Comprehensive,5,845
Third Party insurance,5,846
Comprehensive,5,847
Third Party,5,848
Third Party insurance,5,849
Third Party,5,850
Third Party,5,851
Comprehensive,7,852
Third Party insurance,5,853
Third Party insurance,5,854
Third Party insurance,5,855
Third Party insurance,5,856
Third Party insurance,5,857
Third Party insurance,5,858
Third Party,7,859
Third Party insurance,5,860
Third Party insurance,5,861
Third Party,5,862
Third Party,5,863
Third Party insurance,5,864
Comprehensive,5,865
Comprehensive,5,866
Third Party insurance,5,867
Third Party insurance,7,868
Third Party insurance,5,869
Comprehensive,5,870
Comprehensive,5,871
Comprehensive,5,872
Third Party insurance,7,873
Third Party,5,874
Third Party insurance,5,875
Comprehensive,5,876
Third Party insurance,7,877
Third Party insurance,5,878
Third Party insurance,5,879
Third Party insurance,5,880
Comprehensive,5,881
Comprehensive,5,882
Third Party,5,883
Third Party insurance,5,884
Third Party,5,885
Comprehensive,5,886
Third Party insurance,5,887
Third Party,5,888
Third Party insurance,5,889
Comprehensive,5,890
Comprehensive,5,891
Third Party insurance,5,892
Third Party insurance,6,893
Third Party,5,894
Comprehensive,7,895
Third Party insurance,5,896
Comprehensive,5,897
Third Party insurance,5,898
Comprehensive,5,899
Comprehensive,5,900
Comprehensive,7,901
Comprehensive,5,902
Comprehensive,5,903
Comprehensive,5,904
Comprehensive,5,905
Comprehensive,5,906
Comprehensive,7,907
Third Party,5,908
Comprehensive,5,909
Third Party insurance,5,910
Third Party insurance,5,911
Third Party insurance,5,912
Comprehensive,5,913
Third Party insurance,5,914
Comprehensive,5,915
Third Party insurance,5,916
Comprehensive,7,917
Comprehensive,5,918
Third Party insurance,7,919
Third Party insurance,5,920
Third Party insurance,5,921
Zero Dep,7,922
Third Party,5,923
Third Party insurance,5,924
Third Party insurance,5,925
Third Party,5,926
Third Party insurance,5,927
Third Party,5,928
Comprehensive,5,929
Zero Dep,5,930
Third Party,5,931
Third Party insurance,5,932
Third Party insurance,5,933
Third Party insurance,5,934
Third Party,5,935
Third Party insurance,7,936
Third Party insurance,5,937
Third Party insurance,7,938
Third Party insurance,5,939
Third Party insurance,5,940
Comprehensive,5,941
Third Party,5,942
Third Party,5,943
Third Party insurance,6,944
Comprehensive,5,945
Comprehensive,5,946
Third Party insurance,5,947
Third Party,5,948
Third Party,5,949
Third Party,5,950
Third Party,5,951
Third Party,5,952
Comprehensive,4,953
Third Party insurance,5,954
Third Party insurance,5,955
Third Party insurance,7,956
Comprehensive,5,957
Comprehensive,5,958
Comprehensive,6,959
Comprehensive,9,960
Third Party insurance,5,961
Third Party insurance,5,962
Third Party,5,963
Third Party insurance,5,964
Third Party,5,965
Comprehensive,5,966
Comprehensive,7,967
Comprehensive,5,968
Third Party insurance,5,969
Comprehensive,5,970
Third Party insurance,7,971
Third Party insurance,5,972
Third Party insurance,5,973
Third Party insurance,5,974
Comprehensive,5,975
Third Party insurance,7,976
Third Party insurance,5,977
Third Party insurance,5,978
Third Party,5,979
Third Party,5,980
Third Party insurance,5,981
Third Party,5,982
Third Party,5,983
Comprehensive,5,984
Third Party insurance,5,985
Third Party,5,986
Third Party insurance,5,987
Third Party,5,988
Third Party insurance,5,989
Third Party,5,990
Comprehensive,5,991
Third Party insurance,5,992
Comprehensive,5,993
Comprehensive,5,994
Third Party insurance,5,995
Third Party insurance,5,996
Third Party insurance,5,997
Third Party insurance,5,998
Third Party insurance,5,999
Third Party insurance,5,1000
Comprehensive,5,1001
Third Party,5,1002
Third Party,5,1003
Third Party insurance,5,1004
Third Party insurance,5,1005
Third Party insurance,5,1006
Third Party insurance,5,1007
Comprehensive,5,1008
Comprehensive,5,1009
Comprehensive,5,1010
Comprehensive,5,1011
Third Party insurance,5,1012
Third Party insurance,5,1013
Third Party insurance,5,1014
Comprehensive,5,1015
Third Party insurance,5,1016
Third Party insurance,5,1017
Comprehensive,7,1018
Third Party insurance,5,1019
Third Party insurance,5,1020
Comprehensive,5,1021
Comprehensive,5,1022
Comprehensive,5,1023
Comprehensive,5,1024
Comprehensive,5,1025
Comprehensive,5,1026
Comprehensive,5,1027
Comprehensive,5,1028
Third Party insurance,5,1029
Comprehensive,5,1030
Comprehensive,5,1031
Third Party insurance,7,1032
Comprehensive,5,1033
Third Party insurance,7,1034
Third Party insurance,5,1035
Comprehensive,7,1036
Comprehensive,7,1037
Third Party insurance,5,1038
Comprehensive,5,1039
Comprehensive,5,1040
Comprehensive,5,1041
Comprehensive,5,1042
Comprehensive,5,1043
Third Party insurance,5,1044
Comprehensive,5,1045
Comprehensive,5,1046
Third Party insurance,5,1047
Comprehensive,5,1048
Third Party insurance,7,1049
Comprehensive,5,1050
Comprehensive,5,1051
Comprehensive,7,1052
Comprehensive,5,1053
Third Party insurance,5,1054
Third Party insurance,5,1055
Comprehensive,5,1056
Third Party insurance,5,1057
Third Party insurance,5,1058
Third Party insurance,5,1059
Third Party insurance,5,1060
Comprehensive,5,1061
Comprehensive,5,1062
Comprehensive,5,1063
Third Party insurance,5,1064
Comprehensive,5,1065
Comprehensive,5,1066
Comprehensive,5,1067
Comprehensive,5,1068
Third Party insurance,5,1069
Comprehensive,5,1070
Comprehensive,5,1071
Third Party insurance,5,1072
Comprehensive,5,1073
Third Party,5,1074
Comprehensive,4,1075
Third Party,5,1076
Comprehensive,7,1077
Third Party insurance,5,1078
Third Party insurance,5,1079
Third Party insurance,5,1080
Third Party insurance,5,1081
Comprehensive,5,1082
Comprehensive,5,1083
Comprehensive,5,1084
Comprehensive,5,1085
Comprehensive,5,1086
Comprehensive,5,1087
Comprehensive,5,1088
Comprehensive,5,1089
Comprehensive,5,1090
Comprehensive,5,1091
Third Party insurance,5,1092
Third Party insurance,5,1093
Comprehensive,5,1094
Comprehensive,5,1095
Third Party insurance,5,1096
Comprehensive,5,1097
Third Party insurance,5,1098
Third Party insurance,6,1099
Comprehensive,5,1100
Third Party insurance,5,1101
Comprehensive,7,1102
Comprehensive,5,1103
Third Party,5,1104
Comprehensive,5,1105
Comprehensive,5,1106
Third Party insurance,8,1107
Comprehensive,7,1108
Third Party insurance,5,1109
Comprehensive,5,1110
Comprehensive,5,1111
Comprehensive,5,1112
Third Party insurance,5,1113
Third Party insurance,5,1114
Third Party insurance,7,1115
Third Party insurance,5,1116
Third Party insurance,5,1117
Comprehensive,5,1118
Third Party insurance,7,1119
Third Party insurance,5,1120
Third Party insurance,8,1121
Comprehensive,5,1122
Comprehensive,5,1123
Third Party insurance,5,1124
Comprehensive,5,1125
Comprehensive,5,1126
Comprehensive,5,1127
Comprehensive,5,1128
Comprehensive,2,1129
Comprehensive,5,1130
Comprehensive,5,1131
Third Party insurance,5,1132
Third Party insurance,7,1133
Third Party insurance,7,1134
Comprehensive,5,1135
Third Party insurance,5,1136
Third Party insurance,5,1137
Third Party insurance,7,1138
Third Party insurance,5,1139
Third Party insurance,5,1140
Third Party insurance,5,1141
Comprehensive,5,1142
Comprehensive,5,1143
Third Party insurance,5,1144
Comprehensive,5,1145
Third Party insurance,5,1146
Third Party insurance,7,1147
Third Party insurance,5,1148
Third Party insurance,5,1149
Third Party insurance,7,1150
Third Party insurance,5,1151
Comprehensive,7,1152
Third Party insurance,5,1153
Third Party insurance,5,1154
Third Party insurance,5,1155
Third Party insurance,5,1156
Third Party insurance,7,1157
Third Party insurance,7,1158
Third Party insurance,5,1159
Third Party insurance,5,1160
Third Party insurance,7,1161
Third Party insurance,5,1162
Third Party insurance,5,1163
Third Party insurance,7,1164
Third Party insurance,5,1165
Third Party insurance,7,1166
Third Party insurance,7,1167
Third Party insurance,7,1168
Third Party insurance,4,1169
Third Party insurance,7,1170
Third Party insurance,5,1171
Third Party insurance,5,1172
Comprehensive,5,1173
Comprehensive,2,1174
Third Party insurance,5,1175
Comprehensive,5,1176
Comprehensive,5,1177
Third Party insurance,9,1178
Comprehensive,5,1179
Third Party insurance,5,1180
Third Party insurance,5,1181
Third Party insurance,7,1182
Comprehensive,5,1183
Third Party,5,1184
Third Party,5,1185
Third Party,5,1186
Third Party insurance,5,1187
Comprehensive,5,1188
Third Party insurance,5,1189
Comprehensive,5,1190
Third Party insurance,5,1191
Third Party insurance,5,1192
Comprehensive,5,1193
Comprehensive,5,1194
Comprehensive,5,1195
Comprehensive,7,1196
Comprehensive,5,1197
Third Party insurance,5,1198
Third Party insurance,5,1199
Third Party insurance,5,1200
Third Party insurance,5,1201
Third Party insurance,5,1202
Third Party insurance,5,1203
Third Party insurance,5,1204
Third Party insurance,5,1205
Third Party insurance,7,1206
Comprehensive,7,1207
Third Party insurance,5,1208
Third Party insurance,5,1209
Third Party insurance,5,1210
Comprehensive,5,1211
Third Party insurance,5,1212
Comprehensive,5,1213
Comprehensive,5,1214
Comprehensive,5,1215
Comprehensive,5,1216
Comprehensive,5,1217
Comprehensive,7,1218
Comprehensive,5,1219
Comprehensive,5,1220
Comprehensive,5,1221
Comprehensive,5,1222
Comprehensive,5,1223
Comprehensive,7,1224
